,time,x,y,z,rx,ry,rz,maze_type,condition,collision_status,Participant,Distance,Total Distance
236518,1689672659221,0.5299588,0.219,0.7920419,0,0,0,Maze1,visual_only,0,CTS02,0.00625359999999997,34.99216037803995
237701,1689672687488,-3.244992,0.219,0.3880152,0,0,0,Maze3,invisible,0,CTS02,0.007074100000000028,66.91218065010514
238478,1689672706005,-3.243426,0.219,-2.795797,0,0,0,Maze4,contra_audio,0,CTS02,0.008330999999999644,32.65800783815073
239509,1689672732806,0.4495411,0.219,-2.79634,0,0,0,Maze2,const_contra_audio2,0,CTS02,0.00835299999999961,39.84325164662569
245556,1689672856935,-1.293612,0.219,-0.3070203,0,0,0,Maze3,audio_only,0,CTS02,0.0,51.388856755203214
246288,1689672875388,-3.283643,0.219,-2.796045,0,0,0,Maze4,all,0,CTS02,0.007505999999999791,33.87923743993834
249659,1689672945171,0.530907,0.219,0.930077,0,0,0,Maze1,contra_visual,0,CTS02,0.005419300000000016,64.81507395816097
250651,1689672968354,-3.226645,0.219,0.3980252,0,0,0,Maze3,all,0,CTS02,0.008338800000000035,33.361943145977136
254649,1689673050787,0.4085141,0.219,-2.827701,0,0,0,Maze2,invisible,0,CTS02,0.008349999999999635,80.47203478885919
257313,1689673107371,0.7499999,0.2188798,0.6295676,0,0,0,Maze1,audio_only,0,CTS02,0.005408999999999997,48.65760236776242
258043,1689673126338,-3.240439,0.219,-2.798379,0,0,0,Maze4,visual_only,0,CTS02,0.008323000000000302,32.47342868030682
258961,1689673146887,-3.246526,0.219,0.3939997,0,0,0,Maze3,contra_audio,0,CTS02,0.00832320000000003,34.89719506568519
264969,1689673268885,-1.223812,0.2190002,0.2028776,0,0,0,Maze2,audio_only,0,CTS02,0.0,74.06161578811789
265856,1689673290354,-3.323331,0.219,-2.78629,0,0,0,Maze4,contra_visual,0,CTS02,0.008348000000000244,36.677304926193344
267508,1689673325321,0.3460279,0.219,-2.983668,0,0,0,Maze2,const_contra_visual,0,CTS02,0.004577900000000024,78.85210291534436
268987,1689673357437,0.5300355,0.219,0.8866569,0,0,0,Maze1,invisible,0,CTS02,0.008341599999999949,53.36271837766586
269862,1689673377387,0.462474,0.219,-2.805893,0,0,0,Maze2,visual_only,0,CTS02,0.008323000000000302,39.318285011389
272718,1689673436421,-3.149278,0.219,-2.850334,0,0,0,Maze4,audio_only,0,CTS02,0.008353000000000055,64.17190972760612
273596,1689673456537,-3.253345,0.219,0.3986639,0,0,0,Maze3,visual_only,0,CTS02,0.016686900000000005,44.82166261029517
274422,1689673475121,-3.249988,0.219,-2.797929,0,0,0,Maze4,invisible,0,CTS02,0.008323999999999998,55.81991377205877
276463,1689698454762,0.5272996,0.219,0.7763482,0,0,0,Maze1,const_contra_audio2,0,ECS07,0.0070869070037640446,41.245377688614
278080,1689698491060,0.5195086,0.219,-2.778974,0,0,0,Maze2,all,0,ECS07,0.008323999999999998,45.0304505904004
279169,1689698514727,-3.179874,0.219,0.4256622,0,0,0,Maze3,visual_only,0,ECS07,0.004165990321639984,55.6240864346736
285185,1689698636808,-0.224077,0.219,0.6915985,0,0,0,Maze2,audio_only,0,ECS07,0.0,89.22829513045596
286414,1689698667644,-3.127312,0.219,0.4764158,0,0,0,Maze3,all,0,ECS07,0.004578799999999994,41.30274064522785
287427,1689698690128,0.5407885,0.219,0.7344837,0,0,0,Maze1,visual_only,0,ECS07,0.0016683477395315483,44.344699246230675
288614,1689698718461,-3.261847,0.219,0.3905366,0,0,0,Maze3,contra_audio,0,ECS07,0.008337000000000039,42.141924208349735
289682,1689698744627,0.496991,0.219,-2.781395,0,0,0,Maze2,visual_only,0,ECS07,0.008345999999999965,50.09248843569914
291069,1689698774477,0.5240581,0.219,0.7786887,0,0,0,Maze1,contra_visual,0,ECS07,0.0029128556744198605,71.83665286186717
292211,1689698801945,-3.515012,0.219,-2.89083,0,0,0,Maze4,invisible,0,ECS07,0.008336999999999595,63.612777047988224
293368,1689698828977,0.439049,0.219,-2.81602,0,0,0,Maze2,const_contra_audio2,0,ECS07,0.016681000000000168,52.24852432136987
294414,1689698851944,-3.29669,0.219,-2.787954,0,0,0,Maze4,all,0,ECS07,0.008344000000000129,43.888169474241735
297391,1689698913044,0.5175346,0.219,0.7950464,0,0,0,Maze1,audio_only,0,ECS07,0.0029142698879821957,59.77239965156441
298264,1689698935844,-3.28703,0.219,-2.789977,0,0,0,Maze4,visual_only,0,ECS07,0.0037560000000000926,39.83789117029344
299789,1689698967994,0.5158792,0.219,0.8051325,0,0,0,Maze1,const_contra_visual,0,ECS07,0.0029182999999999293,76.07122589308163
301854,1689699011562,-3.477175,0.219,0.4736426,0,0,0,Maze3,invisible,0,ECS07,0.005410200000000032,77.16086476104168
302775,1689699032694,-3.266671,0.219,-2.789567,0,0,0,Maze4,contra_visual,0,ECS07,0.005411000000000055,45.91645290257955
307425,1689699127310,0.4704848,0.219,-2.790148,0,0,0,Maze2,const_contra_visual,0,ECS07,0.008322999999999858,98.26547762151472
308695,1689699154411,-3.135004,0.219,-2.853267,0,0,0,Maze4,audio_only,0,ECS07,0.004577000000000275,74.23126043112619
309670,1689699176244,0.5162697,0.219,0.8587608,0,0,0,Maze1,invisible,0,ECS07,0.006684700000000099,62.88510271964915
310496,1689699196927,-3.265773,0.219,-2.791261,0,0,0,Maze4,contra_audio,0,ECS07,0.008323999999999998,40.05891150884774
312750,1689699244427,0.5308855,0.219,-2.779934,0,0,0,Maze2,contra_visual,0,ECS07,0.008323999999999998,104.61189939114558
318245,1689699366744,-3.155856,0.219,0.4491034,0,0,0,Maze3,const_contra_visual,0,ECS07,0.008323299999999978,79.35025991542607
319198,1689699389494,-3.390021,0.219,-2.794572,0,0,0,Maze4,const_contra_audio2,0,ECS07,0.0037519999999999776,43.473854485733966
319964,1689699407661,0.5269441,0.219,0.8990225,0,0,0,Maze1,contra_audio,0,ECS07,0.008335304026248805,42.57094626294808
320993,1689699430561,-3.242185,0.219,0.4001091,0,0,0,Maze3,const_contra_audio2,0,ECS07,0.016698199999999996,42.70869039360112
322079,1689699455394,-3.204566,0.219,-2.815408,0,0,0,Maze4,const_contra_visual,0,ECS07,0.008353000000000055,62.59511079960863
323686,1689699488960,-3.277881,0.219,0.3820733,0,0,0,Maze3,audio_only,0,ECS07,0.00832320000000003,65.72324248449749
324478,1689699508178,0.5336001,0.219,0.7892869,0,0,0,Maze1,all,0,ECS07,0.01664650000000001,48.0655160672968
325549,1689699531677,0.4885806,0.219,-2.790675,0,0,0,Maze2,contra_audio,0,ECS07,0.008322929662083913,48.63109815428564
327036,1689699564610,-3.375854,0.219,0.3917091,0,0,0,Maze3,contra_visual,0,ECS07,0.008342499999999975,55.79203922435078
330974,1689699645593,0.360341,0.219,-2.892967,0,0,0,Maze2,invisible,0,ECS07,0.008341000000000154,98.30306621222746
333346,1689698606259,0.5213278,0.219,0.8040533,0,0,0,Maze1,contra_visual,0,EOS08,0.008325000000000027,85.84476996559852
334352,1689698638208,-3.260185,0.219,-2.795252,0,0,0,Maze4,all,0,EOS08,0.008325000000000138,52.62720046315534
340368,1689698762912,0.04874881,0.219,1.011727,0,0,0,Maze3,const_contra_visual,0,EOS08,0.0,95.80005188525732
343260,1689698829516,0.5253163,0.219,0.7912052,0,0,0,Maze1,invisible,0,EOS08,0.008334799999999976,73.0293178331746
344150,1689698853616,-3.279846,0.219,-2.801918,0,0,0,Maze4,contra_audio,0,EOS08,0.008354000000000195,47.49963955207187
344930,1689698873834,0.5203493,0.219,0.8437364,0,0,0,Maze1,const_contra_audio2,0,EOS08,0.008325000000000027,51.05039972377669
349202,1689698961904,-3.23046,0.219,0.396052,0,0,0,Maze3,contra_visual,0,EOS08,0.008334800000000031,65.12500644398148
350191,1689698985405,0.3895905,0.219,-3.101688,0,0,0,Maze2,contra_audio,0,EOS08,0.0066597999999999935,59.758533797516414
351484,1689699013621,-3.248221,0.219,-2.805628,0,0,0,Maze4,contra_visual,0,EOS08,0.016669999999999963,56.31329914089006
352311,1689699032971,-3.234235,0.219,0.3950877,0,0,0,Maze3,contra_audio,0,EOS08,0.008334100000000011,54.599168087904175
353742,1689699063939,-3.405867,0.219,-2.80878,0,0,0,Maze4,const_contra_visual,0,EOS08,0.008341000000000154,71.7645522252596
359760,1689699196257,0.5193855,0.219,0.7367499,0,0,0,Maze2,invisible,0,EOS08,0.0,119.86324130826733
360713,1689699218558,-3.26419,0.219,0.3946868,0,0,0,Maze3,const_contra_audio2,0,EOS08,0.016660500030011127,50.7320915806343
361450,1689699235391,0.5386571,0.219,0.7556163,0,0,0,Maze1,visual_only,0,EOS08,0.008334799999999976,54.13832683853722
363416,1689699276675,-3.275393,0.219,-2.792106,0,0,0,Maze4,invisible,0,EOS08,0.008334000000000064,71.08374962633921
364334,1689699297293,0.4376638,0.219,-2.812802,0,0,0,Maze2,all,0,EOS08,0.008341000000000154,57.46837671140926
367766,1689699367692,0.5571577,0.219,0.7225261,0,0,0,Maze1,audio_only,0,EOS08,0.008325000000000027,68.75946165329248
368554,1689699386109,-3.287275,0.219,-2.787789,0,0,0,Maze4,visual_only,0,EOS08,0.008338000000000179,47.33682837520408
369212,1689699402125,0.5256864,0.219,0.82179,0,0,0,Maze1,all,0,EOS08,0.008340400000000026,57.93850602654347
370080,1689699421058,0.5302983,0.219,-2.78032,0,0,0,Maze2,visual_only,0,EOS08,0.008325000000000138,57.35364039206508
371642,1689699454009,-3.16201,0.219,-2.836225,0,0,0,Maze4,audio_only,0,EOS08,0.0075070000000003745,84.30830155351424
376811,1689699560692,0.5761318,0.219,-2.779419,0,0,0,Maze2,const_contra_visual,0,EOS08,0.008332999999999924,120.15350075429268
377593,1689699579776,-3.360669,0.219,-2.805512,0,0,0,Maze4,const_contra_audio2,0,EOS08,0.016658999999999757,53.73716692975018
383624,1689699702158,-1.883404,0.219,0.9736717,0,0,0,Maze2,audio_only,0,EOS08,0.0,106.9370893358755
385066,1689699734942,-3.471347,0.219,0.4675442,0,0,0,Maze3,invisible,0,EOS08,0.008339800000000008,87.85385096992768
387670,1689699788926,0.5460547,0.219,-2.77564,0,0,0,Maze2,contra_visual,0,EOS08,0.008325000000000138,119.7663958378414
388349,1689699804526,0.5398058,0.219,0.750614,0,0,0,Maze1,contra_audio,0,EOS08,0.00834809999999997,49.60166412105308
389193,1689699822942,-3.238909,0.219,0.3936697,0,0,0,Maze3,all,0,EOS08,0.008325000000000027,48.85683633671187
390085,1689699842475,0.5058748,0.219,-2.783806,0,0,0,Maze2,const_contra_audio2,0,EOS08,0.008324999999999694,63.23867608474329
391801,1689699878242,-3.427846,0.219,0.4187312,0,0,0,Maze3,audio_only,0,EOS08,0.008325000000000027,77.0354009913897
393810,1689699921341,0.5216313,0.219,0.8899961,0,0,0,Maze1,const_contra_visual,0,EOS08,0.008340000000000014,88.38783174107608
394568,1689699938259,-3.23909,0.219,0.3936363,0,0,0,Maze3,visual_only,0,EOS08,0.008324999999999971,63.063000049981795
395783,1692172351297,0.517642,0.219,0.869594,0,0,0,Maze1,const_contra_audio2,0,FAS28,0.007084800000000002,60.78623657776542
396913,1692172381231,-3.277384,0.219,0.3888781,0,0,0,Maze3,contra_audio,0,FAS28,0.016663499999999998,62.07716658235738
402940,1692172506996,0.6683357,0.219,-1.047478,0,0,0,Maze2,const_contra_visual,0,FAS28,0.0,147.2014061103017
